,passenger_count,year,month,day,dayofweek,hour,minute,second,distance
15519,1,2010,4,8,3,9,20,0,2.113821385896133
12870,1,2013,9,25,2,17,31,0,1.5092410673807113
9271,1,2012,11,19,0,14,26,47,1.2166871214109292
10564,1,2014,3,20,3,11,48,0,0.8231418746297874
14987,1,2012,7,19,3,11,25,8,2.267233594414696
5749,2,2012,3,26,0,12,38,0,0.7692719481905077
4864,1,2013,5,7,1,12,30,0,1.7615831816168688
12737,1,2011,11,10,3,16,5,35,0.46766995227973057
2841,1,2010,4,1,3,15,34,17,2.3355987883230913
9468,1,2014,10,12,6,4,42,0,1.4220603011468071
6023,1,2009,3,25,2,20,8,45,1.470625640562893
13064,1,2013,12,17,1,19,47,11,0.7507627164222253
1378,4,2011,4,29,4,16,34,0,0.8901221552189583
10174,1,2010,1,22,4,7,35,0,0.9567377080198943
7390,1,2014,1,13,0,15,51,0,1.0909205645246627
13537,1,2009,9,29,1,0,20,10,2.217849590869217
2285,1,2012,10,10,2,22,40,0,1.1519175441182785
10375,2,2012,8,6,0,22,0,45,2.0210410775986505
5013,1,2010,1,9,5,1,50,18,2.362570309816542
10064,4,2010,1,8,4,15,14,34,0.7947133765891837
4091,1,2009,10,8,3,21,43,23,0.7595860249110923
8190,1,2015,3,18,2,8,56,39,0.7201349241583724
12398,1,2010,9,6,0,17,13,0,12.471637014702884
11307,2,2010,2,15,0,18,46,0,1.0300966737996897
10972,1,2012,8,1,2,15,1,0,0.2939470850330315
4468,1,2011,2,3,3,13,39,0,3.5167567436925795
9154,1,2012,7,1,6,17,38,29,0.7311774387392496
9403,1,2013,2,22,4,16,34,6,3.305648202623894
13407,1,2010,7,26,0,19,45,35,3.5685882030411156
12060,1,2015,4,12,6,19,8,20,2.542682284625413
7003,5,2009,4,5,6,3,12,0,0.619543472034068
2983,1,2011,9,16,4,8,52,42,1.555152013374317
10703,2,2011,1,17,0,3,19,0,2.27385875691909
7149,1,2012,9,8,5,17,43,0,1.9489803902769915
2623,3,2015,6,20,5,8,59,36,1.5112020601964036
8776,3,2014,6,28,5,1,21,55,0.47730416782280377
1507,5,2014,5,21,2,23,3,0,1.7995072034901927
5383,4,2009,10,26,0,18,18,10,0.6774254066028372
12852,1,2011,7,2,5,20,42,58,0.955504275756565
5245,1,2014,8,30,5,18,25,5,0.6106650264029558
5990,1,2011,5,5,3,14,16,9,0.9698397350224058
10034,1,2013,2,27,2,0,42,0,1.7719298579062357
4057,1,2010,4,8,3,8,32,52,2.006445643675443
4738,2,2009,3,6,4,19,46,6,2.2477455365690933
3339,1,2013,4,20,5,0,8,55,8.365888335334732
11999,1,2011,1,14,4,14,1,0,7.049344593215733
8016,1,2015,1,3,5,1,5,30,1.1918876785206083
5552,1,2009,10,25,6,22,52,0,2.1686979337885863
7005,1,2009,12,19,5,6,13,36,6.495167678587446
15825,6,2011,11,18,4,10,10,0,0.6802965264056153
15475,1,2014,4,25,4,11,26,0,0.638523128333059
3532,1,2010,3,14,6,19,9,0,1.8126429830877813
9827,1,2015,6,7,6,2,11,36,2.724645152572657
8677,1,2014,12,12,4,13,55,23,0.6799170075438621
15173,2,2011,4,9,5,3,7,0,0.732864977580589
10877,2,2010,4,22,3,8,1,0,1.8933793389066695
461,1,2011,8,30,1,10,9,3,0.24963360218113548
4790,1,2009,9,11,4,19,7,52,1.3746048102984794
4465,2,2011,3,19,5,17,25,0,0.8830256654919126
16035,1,2014,7,6,6,10,53,0,1.3921088137513136
5424,1,2012,2,22,2,11,45,31,0.5409522560499863
11903,5,2009,2,11,2,7,32,0,0.5089935834662623
13270,5,2009,4,10,4,9,30,0,1.1603383672019438
8799,1,2010,5,28,4,11,22,0,0.17317288221034086
193,3,2012,8,30,3,18,57,0,0.602452483188887
5794,6,2011,5,14,5,19,11,0,0.8207757494260722
5006,1,2013,3,28,3,11,55,51,1.6693459162066282
7330,1,2013,9,8,6,16,59,11,2.3871759103100154
742,1,2014,12,23,1,20,50,0,0.8261054765779128
1350,1,2009,10,22,3,15,17,35,8.806950465885414
3523,4,2010,6,21,0,20,8,41,2.751084089302744
9080,1,2010,12,16,3,16,32,18,0.6297707645890475
3257,2,2014,7,7,0,12,57,51,1.3415326454117158
12404,2,2014,1,7,1,5,58,14,2.8162761309450333
15438,1,2009,6,18,3,12,38,14,4.154826296465045
15509,2,2009,12,12,5,3,21,26,0.4486984135356359
10532,1,2015,4,16,3,7,43,41,1.4075182811666778
13281,1,2011,6,11,5,18,1,50,1.7731553877948016
2093,1,2013,2,17,6,16,45,15,0.8075137687061825
4265,1,2013,6,23,6,13,13,27,1.6663549712602335
5001,1,2011,4,15,4,21,28,0,3.107319453589214
14328,3,2010,7,27,1,17,38,0,5.42597101491874
15080,1,2009,10,5,0,23,17,0,1.3032618839377508
10364,1,2009,3,5,3,14,18,55,1.315824210720459
511,1,2010,11,13,5,4,38,0,11.781527512131941
712,1,2014,12,13,5,18,37,0,1.1956115131513074
15013,4,2009,3,24,1,10,6,1,0.6390585245653884
9881,1,2010,4,7,2,11,53,0,0.5160657824931296
9173,2,2015,5,2,5,23,20,25,2.3523266085513344
15292,1,2012,8,7,1,23,6,0,1.6595100530205447
5601,2,2013,8,8,3,1,51,0,2.2241591728769685
7874,2,2012,3,3,5,0,31,36,0.6124875030281802
9221,1,2010,12,29,2,0,14,20,2.9912581705755628
10248,5,2010,6,22,1,10,58,0,0.581784738806204
14722,1,2011,12,9,4,10,48,18,1.1424035434994804
15141,4,2009,1,31,5,0,47,37,2.1518070882481433
10211,2,2011,11,21,0,6,18,0,12.360624735029718
3705,2,2010,12,5,6,14,44,12,1.411333417103138
11368,1,2009,3,17,1,20,37,23,1.1265899115669957
15645,3,2012,9,10,0,23,2,0,3.5317369063906856
3693,1,2013,10,17,3,21,45,0,1.5803035695640266
3106,1,2011,11,9,2,14,45,25,0.5278042641048394
4891,2,2012,9,26,2,2,26,33,0.8124891819632415
7696,1,2009,5,5,1,21,46,59,2.563710606146051
983,1,2009,6,12,4,10,34,0,1.2003933056483234
1286,1,2014,4,19,5,22,38,20,2.1917814140418477
11695,5,2014,6,3,1,20,48,0,1.1310033610183274
3419,1,2013,6,21,4,3,7,37,2.94383515642391
4281,1,2009,10,4,6,1,30,30,4.16850725823484
8103,1,2012,1,26,3,0,26,0,0.8777365027594454
7365,1,2012,12,6,3,8,9,50,1.1118384896650346
6541,2,2012,8,10,4,15,46,8,2.2468328913629967
5735,1,2009,5,6,2,20,17,0,5.320112489636843
11666,1,2013,9,27,4,9,30,26,1.850478694959807
638,5,2010,9,30,3,7,56,0,5.390462156033886
946,2,2012,6,20,2,15,46,0,2.2973870183468703
4225,1,2013,2,5,1,22,12,30,1.7428851146323368
14918,2,2009,5,29,4,12,2,6,0.9478865353838616
8721,1,2013,9,6,4,11,35,36,1.0429376103600516
2385,2,2009,11,10,1,14,30,55,1.8326728380426403
11174,1,2011,7,16,5,3,42,0,2.3169688685749383
8197,1,2009,9,14,0,23,38,58,2.0885566042389065
1019,1,2015,6,4,3,12,42,44,1.1681817230063725
14908,3,2009,12,19,5,10,45,0,1.0555485284142774
5211,5,2009,10,19,0,12,42,0,0.6428677110734173
12895,1,2015,3,28,5,15,8,49,1.8514238476247253
32,3,2009,1,9,4,16,10,0,5.8577911638763345
15552,1,2010,12,13,0,10,21,0,1.0414935611692906
8858,2,2010,3,14,6,2,27,56,0.8361143507693152
14425,1,2012,10,8,0,9,29,0,0.9904833028752678
10568,1,2012,2,10,4,17,21,0,6.280159379793359
13681,1,2009,3,12,3,14,1,36,2.257684746294239
2832,5,2012,6,16,5,22,53,0,0.43132518967847433
10487,1,2009,8,18,1,17,47,6,1.3758836547268778
12740,5,2009,3,10,1,9,21,0,1.0065432939917682
15413,6,2013,3,24,6,14,4,0,1.1926796362597405
8209,2,2009,7,19,6,17,8,0,0.9424859492692295
1725,1,2009,5,4,0,13,9,0,0.20396479787974936
9846,2,2011,9,7,2,22,35,22,3.538296801332606
5544,1,2013,3,22,4,21,10,0,1.60571492408907
2536,1,2010,10,20,2,6,59,35,3.751973921715465
11671,1,2012,8,1,2,22,27,0,0.750829133200893
5653,1,2015,1,25,6,11,49,56,1.5969764873916703
11375,3,2010,2,28,6,19,42,57,0.32431186422134123
9665,3,2012,12,5,2,11,50,0,1.1628120489392861
465,2,2009,1,11,6,22,50,0,0.6220185564702605
1693,1,2012,1,19,3,23,4,33,0.5842613195067043
3721,1,2015,4,23,3,8,30,30,2.0584409341934444
3520,2,2014,12,11,3,0,2,48,4.529631138746205
6458,5,2012,2,12,6,18,44,0,1.460136704223139
12735,1,2014,7,1,1,9,48,0,0.8035747255124822
12306,2,2015,5,22,4,15,11,29,0.7820056086116239
4528,1,2011,5,25,2,2,7,0,3.3963193972330967
13840,2,2009,5,19,1,19,20,14,0.7394444398210144
11427,1,2009,4,30,3,6,32,28,0.6466324545456359
7061,1,2011,6,3,4,19,44,55,1.4045441209322833
8608,1,2011,9,16,4,14,54,51,0.7222562058033015
11136,1,2014,10,9,3,11,42,9,0.8554820000172899
5654,2,2010,4,16,4,12,1,49,0.44854670253474355
3473,5,2011,9,25,6,9,47,0,1.0208828072517124
13784,1,2010,6,6,6,13,14,0,0.9559725386531767
15047,1,2012,12,10,0,7,45,0,1.685209973314776
8297,2,2012,2,22,2,20,9,2,0.6459969042718734
11852,1,2012,10,27,5,18,3,0,0.4785597171557409
723,1,2010,11,10,2,16,44,0,1.6980207948260175
5639,1,2010,9,28,1,18,31,56,3.9285177799169584
16016,1,2010,5,21,4,19,39,3,1.17422277148597
6301,2,2012,7,30,0,10,11,0,1.4183749504115604
7088,1,2013,3,30,5,13,46,0,3.816091812080747
9797,1,2014,11,8,5,19,53,0,1.1661379049112153
7214,2,2013,3,12,1,23,3,0,0.9825539729234527
7304,1,2011,5,9,0,14,41,20,0.8461112562115126
9181,1,2012,9,11,1,8,17,0,0.9314618310190255
6787,1,2014,11,8,5,22,18,43,8.495287575662537
3649,2,2009,2,6,4,1,41,29,0.6074212100962794
11641,1,2011,4,15,4,17,11,47,7.937723158887151
12640,1,2012,5,1,1,6,35,1,1.022515006034618
14646,1,2013,6,12,2,8,35,21,0.8713696871742569
15449,1,2010,7,16,4,9,50,0,1.6751650656468884
11674,1,2010,7,27,1,0,5,14,1.1165462005490359
14023,1,2013,4,12,4,6,44,2,0.8617721367691421
14787,1,2015,5,15,4,9,5,2,2.137374854624219
9642,1,2010,3,19,4,7,30,9,4.354329988322001
24,1,2009,12,10,3,15,37,0,0.6338102284261038
13196,1,2012,6,23,5,14,49,34,1.164648131567918
4161,6,2012,4,12,3,22,24,0,3.0454840995520347
5394,1,2014,7,7,0,20,38,30,0.466233189113473
12485,1,2010,12,11,5,11,29,37,0.9502007432495715
2920,1,2014,3,10,0,6,29,56,6.628710990240362
11519,1,2014,8,4,0,17,39,8,1.3409809700498019
3431,4,2010,6,12,5,23,39,21,1.353803815333961
7591,1,2009,6,30,1,3,30,42,2.907078370355707
3350,1,2010,10,20,2,15,59,0,1.4066654696373186
3060,2,2010,6,8,1,14,22,52,0.7197031462340819
8160,2,2012,6,28,3,21,44,0,9.936232005269604
9457,1,2013,2,11,0,19,20,0,4.620120852894221
11301,3,2015,6,6,5,0,37,11,1.5985338238468116
15955,1,2013,11,15,4,16,57,0,1.1397608794247105
4690,1,2009,8,1,5,12,43,0,2.9253638749383346
14600,4,2013,9,30,0,22,26,0,1.1047312876488793
9596,1,2009,10,21,2,3,7,4,4.180261971961074
11179,1,2009,7,19,6,14,47,0,3.086659944451553
7034,2,2015,3,3,1,6,56,4,2.3016832378216003
4377,1,2013,1,29,1,5,52,54,5.401621852564058
2371,1,2015,5,11,0,20,15,11,0.6118995756441749
7269,1,2012,5,27,6,14,56,0,0.4327583883961929
99,3,2011,6,9,3,0,53,0,0.8124074754458996
2045,1,2012,5,10,3,17,1,0,0.9272166881485496
7427,1,2013,4,17,2,16,25,32,1.0261584342728585
11266,1,2012,2,25,5,18,55,49,3.002450738105408
11525,2,2014,7,25,4,13,39,0,0.6490075367081998
13314,2,2009,4,24,4,16,7,0,1.403555024421733
617,6,2015,6,22,0,1,54,24,0.7430408333446775
5016,1,2013,9,13,4,18,28,40,4.181186305178152
869,3,2009,6,9,1,17,2,35,0.891551074280215
10242,1,2011,9,13,1,22,50,28,1.3436801704221455
9819,1,2012,3,10,5,11,36,0,0.8119054367431617
4262,1,2009,11,8,6,18,57,34,0.39307837021589626
13328,1,2011,2,24,3,22,55,28,0.5435446294694832
7526,2,2013,11,16,5,0,21,35,1.5376336861353492
6523,1,2009,2,12,3,12,46,35,0.573686963967072
6178,1,2010,6,28,0,10,30,0,6.474392805243184
9540,1,2010,10,28,3,7,7,0,0.29309876087090003
13188,2,2013,10,14,0,12,59,0,5.88794244075359
8187,1,2015,2,2,0,0,55,11,3.0441965422548467
13834,1,2009,4,24,4,13,9,58,0.5246316003211252
2358,1,2014,11,19,2,14,52,35,0.2785197001005479
12167,1,2010,3,13,5,23,39,20,1.199709470056545
9206,1,2010,9,26,6,17,3,0,3.5100232394175612
14889,1,2009,3,13,4,1,44,25,0.7286220763227331
8261,1,2011,6,12,6,21,14,20,1.5030006315314208
11774,1,2014,3,13,3,21,35,21,8.713549005792496
10471,2,2011,4,20,2,23,33,25,3.149414847084959
9245,1,2009,12,4,4,7,13,21,0.8124779660692328
4070,1,2012,6,28,3,21,44,17,0.29002349885541395
5644,1,2009,4,6,0,20,56,5,0.7569291976842484
7882,1,2009,12,28,0,22,48,12,1.7611624080979351
5938,1,2014,7,8,1,17,21,0,0.8496568336507194
4665,1,2013,9,18,2,13,58,0,1.0234589974774697
3972,5,2010,4,22,3,8,43,0,0.8139151126513017
6205,1,2012,3,2,4,16,46,0,0.6769861254253001
13364,2,2010,9,22,2,12,4,0,3.3877187538535543
624,3,2011,4,8,4,17,25,13,1.569718016541457
9544,4,2009,6,11,3,20,51,0,3.375594759374653
3699,2,2013,6,9,6,13,35,33,1.2140709600465718
9473,1,2012,8,29,2,5,1,6,1.1005729180792763
7894,5,2009,3,23,0,9,5,0,0.6744546558143827
14085,4,2012,1,4,2,8,17,0,0.7477792822439896
1451,1,2015,3,15,6,23,54,3,0.48204912469784034
12777,2,2012,7,2,0,9,6,8,1.7980565950974976
6552,3,2012,9,17,0,15,41,0,0.689825943823084
4483,1,2014,8,10,6,8,27,40,1.001483063703949
4247,1,2010,10,30,5,14,7,0,2.4788074239301836
5157,1,2012,12,15,5,4,8,0,1.6347957087469218
3951,1,2010,7,30,4,12,30,5,0.5608951117688042
4437,2,2009,12,26,5,23,18,6,0.9979916056254169
15436,1,2011,1,10,0,23,45,42,1.5661803521648505
11864,1,2011,8,16,1,1,11,8,3.549792224119163
14513,2,2009,11,25,2,18,9,56,2.982532930801331
4436,3,2014,4,25,4,17,53,44,1.1067772264918831
2956,1,2013,11,2,5,21,59,0,6.946099396657744
1234,1,2011,2,7,0,13,45,34,1.221078341755067
8142,1,2013,5,31,4,20,29,30,3.343104894857227
9579,1,2010,3,23,1,15,53,0,1.8460794199489938
3116,1,2011,3,5,5,19,40,0,1.8750312889247411
6908,2,2010,11,23,1,22,15,7,1.3283093054197526
15540,1,2014,5,24,5,21,21,2,1.5356347032958086
10559,1,2010,8,1,6,14,52,0,0.4293137740349925
13749,1,2009,2,25,2,13,48,27,1.0617992334331445
5971,1,2014,5,22,3,0,37,0,1.5970631926335124
4034,1,2011,1,4,1,19,59,0,1.1116938958291787
8746,1,2009,4,4,5,16,25,8,1.7008677466219586
8126,3,2013,3,24,6,14,13,21,6.232707943636884
14192,1,2012,6,27,2,12,5,49,2.7305043124134594
6729,1,2014,6,3,1,0,53,0,5.244864514838415
14164,1,2014,6,19,3,10,45,31,0.847748946854492
10297,1,2012,4,11,2,7,24,0,1.478232636048461
13502,1,2011,1,8,5,19,47,0,0.7039603109703889
5408,1,2009,7,3,4,11,2,0,0.603498711214456
6879,1,2014,4,25,4,17,21,1,1.2059386813916648
10403,1,2012,1,19,3,10,46,0,2.1940501123866283
11814,6,2012,3,25,6,4,51,0,7.029794069511715
10452,1,2009,4,19,6,22,8,49,0.6959300774175581
6313,4,2014,3,2,6,3,50,0,2.416786182439042
956,1,2009,2,2,0,8,43,43,5.385720078574544
4957,1,2009,7,11,5,19,21,0,1.141297592590492
8705,1,2015,3,3,1,10,56,30,1.9077900111081156
2396,1,2011,4,11,0,12,9,42,0.5245243944446887
12215,1,2009,6,26,4,23,41,0,1.00963621667875
14822,1,2013,4,29,0,16,26,0,1.981690168659912
1319,2,2012,9,2,6,16,22,50,2.4665267366877623
11089,1,2014,11,10,0,23,43,22,0.8588604666644479
12409,1,2014,6,11,2,8,27,29,5.017614078825076
1821,5,2014,7,17,3,19,58,0,0.6349331177208349
