,passenger_count,year,month,day,dayofweek,hour,minute,second,distance
13320,1,2013,2,7,3,11,29,0,0.377399586328238
10919,1,2011,12,19,0,10,59,25,1.362838595454341
13512,2,2014,12,3,2,19,7,5,0.7957091672210297
9845,1,2010,3,20,5,20,35,52,3.296883538956777
16051,2,2014,10,1,2,20,5,0,2.3351348813709576
9533,1,2009,6,24,2,1,4,3,12.144264391059972
7507,5,2010,1,24,6,0,34,0,0.7921585722540682
1414,1,2015,4,15,2,10,6,30,0.3769094714610373
1354,1,2013,9,29,6,19,0,8,0.5368269121744353
4505,2,2013,2,27,2,9,30,0,2.377964121964524
3883,3,2013,1,1,1,3,26,0,3.515256959215394
14800,1,2009,1,22,3,13,11,59,12.512259078151457
1142,1,2013,3,9,5,21,12,26,3.2097119569115535
1634,1,2013,6,18,1,8,33,59,2.1892700715563533
4476,2,2011,6,22,2,22,42,0,7.3599029571319505
3940,1,2013,9,17,1,7,7,30,0.7889837619953988
15270,5,2009,12,4,4,9,9,0,0.8316705273874994
3412,5,2010,9,5,6,14,16,0,1.9000663983310784
1165,1,2010,9,15,2,23,33,0,0.4996614037964498
5122,1,2012,9,8,5,1,9,20,2.210940388840731
10697,2,2009,12,31,3,12,23,0,1.491221922190632
10579,3,2009,1,25,6,12,27,3,0.30048430132382653
12257,1,2010,9,12,6,23,18,45,0.36184894283304697
5707,1,2013,7,1,0,18,4,50,2.6247252846589486
13225,5,2014,10,31,4,10,37,0,0.692223892173135
6628,1,2014,5,16,4,9,41,0,1.6115652409263876
2705,1,2009,4,23,3,7,30,4,1.8754137463061378
5168,1,2012,5,29,1,20,24,0,5.598395202381354
15247,1,2011,10,30,6,9,27,8,1.2350619347342016
1739,1,2013,4,28,6,1,47,0,2.7014134344715974
5835,1,2011,5,14,5,0,28,49,0.7470894814699137
7299,1,2013,8,3,5,21,26,41,2.170520037185201
4232,1,2009,10,12,0,22,26,10,0.7637295247333069
13832,1,2013,6,27,3,14,54,0,1.0602953834474451
4238,5,2011,12,13,1,5,42,0,0.5310047994121341
14333,1,2013,4,1,0,14,53,0,1.2900083537418692
13520,1,2014,1,21,1,23,48,58,0.8565713289594367
10544,2,2010,2,21,6,23,15,52,5.076579789143824
15525,1,2009,6,23,1,17,26,0,1.0852621840743506
15604,1,2010,8,6,4,16,25,8,0.5051900230350928
2786,2,2011,8,26,4,0,44,0,2.7458753188515694
1163,2,2010,2,13,5,11,1,42,6.114053541609792
9359,4,2013,1,4,4,22,44,9,0.2738736060864374
12525,1,2009,6,24,2,18,29,0,1.552968028660352
1572,1,2012,6,4,0,18,53,28,4.773311734104091
11055,1,2010,2,22,0,16,49,46,0.724226432529328
9048,1,2015,5,25,0,13,57,32,1.7999963450600218
670,2,2012,1,8,6,2,10,0,4.9670504182317
7903,1,2013,2,13,2,13,38,0,0.47515482557875294
1306,1,2013,3,20,2,22,49,0,3.6931768265189846
13237,1,2015,5,4,0,10,44,7,3.387061629759075
50,1,2011,12,6,1,9,9,21,1.5518974134774302
3833,1,2009,11,28,5,10,38,22,0.752755332565735
