,fare_amount
15519,11.7
12870,6.5
9271,10.0
10564,7.5
14987,9.7
5749,5.7
4864,10.0
12737,4.5
2841,30.67
9468,7.0
6023,6.2
13064,5.0
1378,7.3
10174,3.7
7390,7.5
13537,11.7
2285,9.0
10375,8.1
5013,9.7
10064,4.1
4091,5.3
8190,5.0
12398,4.5
11307,8.9
10972,3.7
4468,14.9
9154,4.9
9403,19.0
13407,12.9
12060,13.5
7003,5.7
2983,7.3
10703,12.1
7149,11.5
2623,15.5
8776,7.0
1507,7.5
5383,5.7
12852,5.7
5245,5.5
5990,6.1
10034,10.0
4057,6.9
4738,11.5
3339,39.5
11999,22.9
8016,6.0
5552,9.3
7005,27.07
15825,5.3
15475,6.5
3532,10.5
9827,10.5
8677,6.0
15173,5.3
10877,8.9
461,3.3
4790,8.1
4465,6.5
16035,9.0
5424,5.3
11903,4.9
13270,7.7
8799,3.3
193,4.5
5794,5.7
5006,11.5
7330,13.5
742,5.5
1350,30.1
3523,13.3
9080,10.9
3257,11.0
12404,14.5
15438,18.9
15509,8.9
10532,8.5
13281,7.7
2093,6.0
4265,13.5
5001,10.9
14328,26.27
15080,9.3
10364,6.9
511,38.1
712,8.5
15013,3.7
9881,5.3
9173,21.54
15292,6.5
5601,9.0
7874,3.7
9221,9.3
10248,4.1
14722,6.5
15141,9.4
10211,49.8
3705,6.9
11368,7.0
15645,15.5
3693,8.0
3106,4.9
4891,6.0
7696,12.5
983,6.9
1286,16.5
11695,8.0
3419,15.0
4281,11.3
8103,6.1
7365,11.0
6541,8.1
5735,24.9
11666,13.0
638,16.1
946,12.1
4225,8.0
14918,7.3
8721,8.5
2385,7.3
11174,12.5
8197,8.1
1019,12.5
14908,6.5
5211,4.5
12895,11.5
32,31.9
15552,8.1
8858,4.9
14425,7.5
10568,31.3
13681,10.5
2832,4.1
10487,6.5
12740,6.5
15413,6.0
8209,4.5
1725,3.7
9846,11.3
5544,7.5
2536,12.5
11671,8.9
5653,8.5
11375,8.5
9665,11.0
465,3.7
1693,4.1
3721,15.5
3520,24.5
6458,10.1
12735,7.5
12306,7.5
4528,12.5
13840,6.5
11427,4.1
7061,8.5
8608,4.1
11136,9.0
5654,5.7
3473,5.3
13784,6.1
15047,10.0
8297,5.3
11852,6.0
723,5.7
5639,16.1
16016,6.5
6301,6.9
7088,17.0
9797,10.5
7214,7.0
7304,10.1
9181,8.0
6787,42.5
3649,5.4
11641,32.9
12640,5.7
14646,5.5
15449,7.7
11674,6.5
14023,6.0
14787,12.0
9642,17.3
24,6.1
13196,5.7
4161,12.5
5394,3.5
12485,4.5
2920,25.5
11519,10.5
3431,10.5
7591,9.3
3350,8.9
3060,5.3
8160,33.7
9457,20.0
11301,8.5
15955,16.0
4690,11.3
14600,7.5
9596,14.5
11179,12.9
7034,9.5
4377,35.3
2371,4.0
7269,4.1
99,5.7
2045,6.5
7427,13.0
11266,11.3
11525,9.0
13314,6.5
617,6.5
5016,18.0
869,6.1
10242,6.1
9819,7.3
4262,3.7
13328,6.1
7526,8.0
6523,4.5
6178,36.0
9540,3.7
13188,42.33
8187,14.5
13834,4.1
2358,17.0
12167,6.9
9206,15.3
14889,5.0
8261,7.7
11774,31.5
10471,9.3
9245,4.9
4070,4.5
5644,5.0
7882,6.9
5938,8.5
4665,7.0
3972,6.5
6205,4.9
13364,9.3
624,10.9
9544,9.3
3699,7.5
9473,5.7
7894,10.5
14085,6.5
1451,5.0
12777,9.7
6552,7.5
4483,6.0
4247,9.7
5157,11.0
3951,4.9
4437,5.7
15436,6.5
11864,13.7
14513,12.1
4436,8.5
2956,28.5
1234,7.3
8142,18.5
9579,7.7
3116,8.9
6908,8.1
15540,8.5
10559,3.7
13749,5.7
5971,6.5
4034,7.3
8746,10.1
8126,35.33
14192,11.3
6729,19.0
14164,6.5
10297,6.9
13502,4.1
5408,4.1
6879,10.0
10403,14.1
11814,22.1
10452,4.1
6313,11.0
956,22.1
4957,6.9
8705,11.5
2396,4.1
12215,6.1
14822,11.0
1319,11.7
11089,5.5
12409,25.0
1821,6.0
1384,16.9
10009,8.9
11536,5.7
7860,13.0
3010,4.0
10893,13.5
4815,5.0
8760,7.7
10636,9.0
15991,7.7
12508,12.5
11780,7.3
4630,8.5
7031,12.5
12851,5.3
12806,28.1
9601,5.5
500,6.0
11283,17.0
12147,16.1
11441,6.5
8590,8.5
993,23.0
5750,13.5
1541,5.3
15652,7.3
8918,8.9
11988,4.1
11802,13.3
8801,5.3
14611,4.5
1077,12.1
4211,27.7
4655,13.5
1827,10.5
4275,18.5
1982,8.5
41,10.9
6426,5.3
228,10.5
9425,9.3
10731,4.9
4623,12.1
13044,8.5
2420,4.9
3738,8.1
8902,6.1
12322,6.1
269,8.9
7945,4.0
12563,17.3
3802,7.7
16,12.5
4836,5.3
10114,6.9
4845,7.7
8956,5.3
11817,6.0
13100,3.5
5872,12.5
11198,4.5
5806,5.7
11440,16.5
9501,6.9
9896,6.0
3242,14.9
5073,16.5
14647,10.9
3033,10.5
3548,11.7
4438,16.1
271,5.5
14603,30.9
100,10.0
10829,10.0
7740,8.9
5179,33.47
12765,12.5
10394,6.0
10584,16.1
732,7.0
10265,10.0
5200,11.5
2601,16.5
2520,6.5
5205,8.1
392,8.5
12084,6.1
14973,6.1
4318,9.5
13043,4.9
12475,8.5
15202,7.5
9491,10.0
4778,6.1
4129,7.3
10687,9.7
9982,6.5
8188,4.9
5944,6.5
11358,6.1
2669,7.5
12058,20.5
15731,6.5
13311,7.7
14915,8.1
13159,11.0
10356,21.5
1249,4.5
5650,11.7
11029,11.5
1619,40.1
10974,7.3
15983,25.3
1473,10.0
14243,6.9
5112,23.0
8180,8.5
11360,9.5
7970,6.5
1594,3.7
7238,13.0
3697,10.9
14883,6.5
14003,11.3
1088,11.0
8436,4.5
8903,6.5
10086,4.1
4914,3.7
1403,6.0
3115,9.7
9636,7.5
6717,10.5
12505,6.1
13982,10.5
1128,22.5
2282,6.5
8100,5.7
1359,10.5
13169,6.1
14339,11.5
13056,13.5
1097,6.5
3006,10.9
15431,9.5
6089,8.5
9932,4.9
9182,24.5
10956,13.5
5134,14.5
15631,5.7
9293,6.0
10926,12.1
1540,10.5
13286,4.9
11286,4.5
1627,13.7
1528,8.5
15844,6.5
6101,12.5
1643,30.1
11935,6.5
13750,4.1
4877,6.9
5774,6.5
6227,11.3
13289,5.5
11476,6.1
1450,4.5
1784,6.1
15580,12.1
12599,6.1
10010,12.5
6862,8.1
12918,7.7
2422,6.5
11246,5.0
11577,18.5
15088,6.1
2941,9.0
1438,6.5
9941,13.0
2236,4.5
5303,9.7
11876,4.5
15435,5.3
13960,7.7
11535,6.5
14516,34.33
1069,5.0
3992,4.1
6566,21.5
1188,15.3
6337,9.7
241,9.0
14459,4.5
11910,39.04
7817,10.1
14503,15.0
7827,9.5
12503,9.5
5540,11.3
3197,10.1
7708,8.5
10640,8.9
13373,8.9
9678,10.9
9722,5.3
5040,31.7
4882,4.9
13330,9.0
10849,34.5
432,15.0
14033,6.1
9016,4.9
3823,11.0
14879,8.5
14296,6.5
9849,6.5
12634,5.5
4023,7.5
2348,6.9
13223,5.3
11030,5.0
10480,6.5
11521,8.1
12736,8.5
8211,12.5
15407,10.5
12131,13.0
7869,7.7
9267,8.1
6315,8.1
207,10.5
4561,6.9
14315,9.7
5746,4.9
7076,17.7
8545,21.5
12985,5.5
3042,6.1
14182,12.1
1322,6.9
8950,4.0
7300,8.5
405,7.5
13352,4.5
8266,5.5
8234,21.3
11552,26.5
9561,4.9
14034,7.5
11105,7.3
4027,14.1
9714,6.1
10209,4.1
10019,45.0
4239,10.9
12656,20.5
14514,5.3
11125,4.5
14167,5.3
7578,10.0
15822,5.7
14970,5.7
14266,8.0
1898,21.3
5371,9.0
13171,10.9
10420,11.7
352,8.1
7162,5.5
10796,4.5
745,8.5
1937,14.0
1756,8.9
13206,11.5
11562,6.5
1501,14.5
10938,11.5
3309,17.3
15132,13.0
13715,4.5
4866,14.5
12594,7.0
13867,10.0
16038,5.7
6135,15.3
7055,6.1
9792,9.0
12868,9.3
9451,10.0
1478,5.0
15377,11.7
13450,4.1
13623,3.3
8223,5.5
2922,6.5
12331,43.0
10442,6.5
5536,21.5
3787,37.54
11026,7.0
11576,8.1
10296,6.9
3057,5.3
13207,4.1
15521,7.3
9371,6.5
8041,7.7
1388,40.83
13805,11.5
16008,14.1
434,8.9
11500,5.7
9834,11.5
354,4.5
7048,5.7
1798,8.5
3854,6.5
5997,11.5
14780,5.3
680,5.0
9042,6.1
11002,7.3
3181,4.5
5404,10.9
11167,19.5
13397,5.0
9194,22.0
14878,5.0
12963,5.0
4724,11.7
5012,4.5
