,fare_amount
13320,5.0
10919,8.9
13512,6.0
9845,13.3
16051,11.5
9533,39.7
7507,6.1
1414,6.5
1354,5.0
4505,16.0
3883,12.5
14800,45.0
1142,18.5
1634,14.5
4476,24.5
3940,5.5
15270,5.7
3412,10.5
1165,6.5
5122,9.0
10697,8.5
10579,6.1
12257,4.1
5707,17.5
13225,8.0
6628,14.0
2705,8.5
5168,20.1
15247,8.1
1739,23.0
5835,4.5
7299,12.0
4232,4.9
13832,7.0
4238,4.5
14333,9.5
13520,7.5
10544,15.7
15525,7.7
15604,4.9
2786,9.7
1163,31.87
9359,5.0
12525,9.7
1572,19.7
11055,4.9
9048,7.5
670,19.7
7903,5.0
1306,16.5
13237,19.5
50,9.7
3833,4.9
9253,8.5
9478,10.5
13687,6.1
8775,10.9
10412,5.3
3111,6.9
10899,4.1
4550,5.0
10463,21.0
7456,7.5
4032,10.0
4191,11.3
2144,5.7
1533,8.9
7202,9.0
1888,10.1
12121,12.5
8029,9.0
10494,16.5
1996,6.5
8941,3.7
3912,4.5
12620,6.5
1963,21.3
14671,4.9
2749,3.7
7020,3.3
4301,12.9
4956,8.5
5219,10.9
10747,10.5
10695,21.0
6452,7.7
15276,6.1
4417,6.9
11932,24.1
3113,25.0
11818,4.5
1161,6.9
6804,8.5
12050,10.9
9885,5.3
148,16.0
10941,10.0
15773,9.0
12024,4.1
9840,9.0
10185,10.9
9164,7.0
15267,20.5
2187,9.5
12839,11.7
11389,13.3
11551,6.9
3260,10.1
656,20.5
9910,15.5
2249,10.5
6059,10.5
15585,6.5
11713,8.5
15870,11.5
9237,3.3
1490,11.7
6591,9.3
5351,7.5
8990,8.1
154,12.9
1207,20.5
11013,9.3
13426,11.0
13125,8.1
11991,6.1
10768,4.5
10198,4.5
15746,5.3
214,15.5
11983,11.3
13597,26.1
8687,7.3
7032,24.0
15486,5.3
12075,32.1
8213,6.9
6439,10.0
7886,6.9
3991,13.0
6263,11.0
16050,8.5
14132,4.9
8989,4.1
11017,15.5
9055,11.5
12151,5.3
6831,11.3
1466,4.5
2391,8.5
12476,4.9
13307,8.0
3231,8.5
4972,9.5
9011,6.0
3230,38.83
7201,4.5
1743,6.5
2609,10.9
15621,9.0
7169,8.0
4316,9.5
2641,14.5
6401,18.5
13846,5.0
